,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
,close,close,close,close,close,close,close,close,close,close,close,close
count,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0
mean,0.003783818524030531,0.0026307770670869982,0.00676506059465674,0.004372553573619234,0.006132000608617189,0.02504255315692137,0.00022267235889958443,0.002611024504987286,0.0014889967916612134,0.002350384825338159,0.010368187631125923,0.013157404149878737
std,0.04763913524639278,0.04584360521835749,0.05124554930861378,0.04739322044037171,0.0696971066069406,0.17096462546747593,0.051763223837610665,0.021646582511109673,0.016541682403180925,0.020861644294930242,0.043814399309188796,0.06164570109787024
min,-0.17850520035475292,-0.2600819155639571,-0.2515723270440251,-0.20831799779168203,-0.7747885720481406,-0.6014537444933921,-0.7416955676282502,-0.07507991098523159,-0.07730093373537772,-0.061176877214205505,-0.13283684005316798,-0.18860451397261568
25%,-0.020343405379926544,-0.01933874720499007,-0.020672001760030867,-0.0214203699851174,-0.020638782946680312,-0.03556347798221071,-0.009263677009600485,-0.009220749475952583,-0.006710118240099039,-0.00958034342672004,-0.013133939036377773,-0.018282030738972888
50%,-0.0034401300636642262,-0.0008186950069590249,0.0011364098266855027,0.0008121149892896806,0.0037471415669000363,0.0008468256298713728,0.001920775051369672,0.0030864618889892004,0.001918871101826758,0.0019415546062437894,0.00600500661801695,0.007934166297927536
75%,0.02434300233081088,0.02421043273206236,0.026934738932840763,0.021764369638332448,0.03695160572107392,0.04787686487066656,0.016652542642553503,0.013836738859512088,0.008969147036015035,0.012822686313008647,0.029204486287395692,0.037527870328080803
max,0.24454901960784325,0.20962663067926224,0.3316939890710382,0.27845096814490944,0.19647583352576525,1.3635803103483712,0.1049545719017142,0.07885948532316744,0.10367768595041316,0.0942755975213927,0.21109718715065617,0.4099054348903346
